﻿Title,Institution,Profile,Memory,Planning,Action,Capability Acquisition,Social Science,Natural Science,Engineering,Subjective,Objective,Benchmark,Release Time,Publication,Code,Paper
MiniAGI,,,,,,,,,General Autonomous Agents,,,,2023/6/20,Github,https://github.com/muellerberndt/mini-agi,
LLMFlows,,,,,,,,,,,,,2023/6/26,Github,http://github.com/stoyan-stoyanov/llmflows,
DemoGPT,,,,,,,,,"CS&SE, General Autonomous Agents",,,,2023/6/27,Github,https://github.com/melih-unsal/DemoGPT,
The Tong Test: Evaluating Artificial General Intelligence Through Dynamic Embodied Physical and Social Interactions,"Beijing Institute for General Artificial Intelligence, Peking University",,,,,,,,,Human Annotation,"Environment Simulation, Multi-task Evaluation, Social Evaluation",w/ Benchmark,2023/7/1,Engineering,,https://www.sciencedirect.com/science/article/pii/S209580992300293X
Embodied Task Planning with Large Language Models,Beijing University of Posts and Telecommunications,,Unified,w/o Feedback,w/o Tools,w/ Fine-tuning,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/7/4,arxiv,,https://arxiv.org/abs/2307.01848
"Math Agents: Computational Infrastructure Mathematical Embedding, and Genomics ","Lutheran University of Brazil, RedBud AI, Teikyo University, University College London",,,,,,,Science Education,,,,,2023/7/4,arxiv,,https://arxiv.org/pdf/2307.02502.pdf
Building Cooperative Embodied Agents Modularly with Large Language Models,"Massachusetts Institute of Technology, Shanghai Jiao Tong University, Tsinghua University, University of Massachusetts Amherst",Handcrafting,"Hybrid, Read/Write",w/o Feedback,,,,,,Human Annotation,Environment Simulation,,2023/7/5,arxiv,https://vis-www.cs.umass.edu/Co-LLM-Agents/,https://arxiv.org/pdf/2307.02485.pdf
Epidemic Modeling with Generative Agents,Virginia Tech,GPT-Generated,"Hybrid, Read/Write",w/ Feedback,,,Social Simulation,,,,,,2023/7/11,arxiv,https://github.com/bear96/GABM-Epidemic,https://arxiv.org/abs/2307.04986
UNLEASHING COGNITIVE SYNERGY IN LARGE LANGUAGE MODELS: A TASK-SOLVING AGENT THROUGH MULTI-PERSONA SELF-COLLABORATION,"Microsoft Research Asia, University of Illinois Urbana-Champaign",GPT-Generated,,w/o Feedback,,Prompt Engineering,,,,,,,2023/7/11,arxiv,https://github.com/mikewangwzhl/solo-performance-prompting,https://arxiv.org/abs/2307.05300
The SocialAI School: Insights from Developmental Psychology Towards Artificial Socio-Cultural Agents,"French National Centre for Scientific Research, National Institute for Research in Digital Science and Technology, Ubisoft",,,,,,Social Simulation,,,,,,2023/7/15,ICML,https://sites.google.com/view/socialai-school,https://arxiv.org/abs/2307.07871
Communicative Agents for Software Development,Tsinghua University,Handcrafting,"Hybrid, Read/Write/Reflection",w/ Feedback,w/ Tools,Mechanism Engineering,,,CS&SE,,,,2023/7/16,arxiv,https://github.com/OpenBMB/ChatDev,https://arxiv.org/pdf/2307.07924.pdf
REX: Rapid Exploration and eXploitation for AI Agents,Salesforce Research,,,w/ Feedback,w/o Tools,Prompt Engineering,,,,,,,2023/7/18,arxiv,,https://arxiv.org/pdf/2307.08962.pdf
Towards A Unified Agent with Foundation Models,"Google DeepMind, Imperial College London",,,,,,,,Robotics & Embodied AI,,,,2023/7/18,ICLR,,https://arxiv.org/abs/2307.09668
Are you in a Masquerade? Exploring the Behavior and Impact of Large Language Model Driven Social Bots in Online Social Networks,Sichuan University,,,,,,Social Simulation,,,,Social Evaluation,w/ Benchmark,2023/7/19,arxiv,,https://arxiv.org/abs/2307.10337
Tachikuma: Understading Complex Interactions with Multi-Character and Novel Objects by Large Language Models,"University of Technology Sydney, Zhejiang University",Dataset alignment,Unified,w/ Feedback,w/o Tools,Mechanism Engineering,,,,Human Annotation,Environment Simulation,w/ Benchmark,2023/7/24,arxiv,,https://arxiv.org/abs/2307.12573
To Infinity and Beyond: SHOW-1 and Showrunner Agents in Multi-Agent Simulations,,,,,,,,,,,,,2023/7/24,Github,https://fablestudio.github.io/showrunner-agents,
WebArena: A Realistic Web Environment for Building Autonomous Agents,"Carnegie Mellon University, Inspired Cognition",,,,,,,,,,Environment Simulation,w/ Benchmark,2023/7/25,arxiv,https://github.com/web-arena-x/webarena,https://arxiv.org/abs/2307.13854
S3 : Social-network Simulation System with Large Language Model-Empowered Agents ,Tsinghua University,Dataset alignment,"Hybrid, Read/Write/Reflection",,w/o Tools,Mechanism Engineering,Social Simulation,,,,,,2023/7/27,arxiv,,https://arxiv.org/abs/2307.14984
Dialogue Shaping: Empowering Agents through NPC Interaction,Georgia Institute of Technology,Handcrafting,Unified,w/ Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,,,2023/7/28,arxiv,,https://arxiv.org/pdf/2307.15833.pdf
Understanding the Benefits and Challenges of Using Large Language Model-based Conversational Agents for Mental Well-being Support,"Emory University, Harvard University, Irvine, UniUniversity of California",,,,,,Psychology,,,,,,2023/7/28,arxiv,,https://arxiv.org/abs/2307.15810
ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"ModelBest Inc., Renmin University of China, Tencent Inc., Tsinghua University, WeChat AI, Yale University, Zhihu Inc.",,,w/ Feedback,w/ Tools,w/ Fine-tuning,,,CS&SE,,Multi-task Evaluation,w/ Benchmark,2023/7/31,arxiv,https://github.com/OpenBMB/ToolBench,https://arxiv.org/abs/2307.16789
ChatMOF: An Autonomous AI System for Predicting and Generating Metal-Organic Frameworks,Korea Advanced Institute of Science and Technology,,Unified,w/ Feedback,w/ Tools,,,"Data Management, Document",,,,,2023/8/1,arxiv,,https://arxiv.org/pdf/2308.01423.pdf
MetaGPT: Meta Programming for Multi-Agent Collaborative Framework,DeepWisdom,Handcrafting,"Hybrid, Read/Write",w/ Feedback,w/ Tools,Mechanism Engineering,,,CS&SE,,,,2023/8/1,arxiv,https://github.com/geekan/MetaGPT,https://arxiv.org/abs/2308.00352
"SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning
",University of Oxford,,,w/ Feedback,w/o Tools,Mechanism Engineering,,,,,,,2023/8/1,arxiv,https://github.com/ningmiao/selfcheck,https://arxiv.org/abs/2308.00436
The Hitchhiker’s Guide to Program Analysis: A Journey with Large Language Models,UC Riverside,,,w/ Feedback,w/o Tools,Prompt Engineering,,,CS&SE,,,,2023/8/1,arxiv,,https://arxiv.org/abs/2308.00245
Agentflow: Complex LLM Workflows from Simple JSON,,,,,,,,,,,,,2023/8/2,Github,https://github.com/simonmesmith/agentflow,
InterAct: Exploring the Potentials of ChatGPT as a Cooperative Agent,National Tsing Hua University,,Unified,w/ Feedback,w/o Tools,Prompt Engineering,,,,,,,2023/8/3,arxiv,,https://arxiv.org/abs/2308.01552
RETROFORMER: RETROSPECTIVE LARGE LANGUAGE AGENTS WITH POLICY GRADIENT OPTIMIZATION,Salesforce Research,,,,,w/ Fine-tuning,,,,,,,2023/8/4,arxiv,,https://arxiv.org/abs/2308.02151
AgentBench: Evaluating LLMs as Agents,Tsinghua University,,,,,,,,,,Multi-task Evaluation,w/ Benchmark,2023/8/7,arxiv,https://github.com/thudm/agentbench,https://arxiv.org/abs/2308.03688
TPTU: Task Planning and Tool Usage of Large Language Model-based AI Agents,SenseTime Research,,"Hybrid, Read/Write",w/o Feedback,w/ Tools,Prompt Engineering,,,,,Multi-task Evaluation,,2023/8/7,arxiv,,https://arxiv.org/pdf/2308.03427.pdf
AgentSims: An Open-Source Sandbox for Large Language Model Evaluation,PTA Studio,Handcrafting,"Hybrid, Read/Write",w/ Feedback,w/ Tools,Prompt Engineering,Social Simulation,,,,Social Evaluation,,2023/8/8,arxiv,https://github.com/py499372727/AgentSims,https://arxiv.org/abs/2308.04026
XLang: An Open-Source Framework for Building Language Model Agents via Executable Language Grounding,,,,,,,,,,,,,2023/8/8,Github,https://github.com/xlang-ai,
Agreement and Statistical Efficiency in Bayesian Perception Models,Massachusetts Institute of Technology,,,,,,,,,,,,2023/8/9,arxiv,,https://arxiv.org/abs/2205.11561
Enhancing Trust in LLM-Based AI Automation Agents: New Considerations and Future Challenges,IBM Research,,,,,,,,,,,,2023/8/10,arxiv,,https://arxiv.org/abs/2308.05391
BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,Salesforce Research,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,w/ Fine-tuning,,,,,"Environment Simulation, Multi-task Evaluation, Software Testing",w/ Benchmark,2023/8/11,arxiv,https://github.com/salesforce/BOLAA.,https://arxiv.org/abs/2308.05960
Dynamic Planning with a LLM,University of Edinburgh,,Unified,w/o Feedback,w/o Tools,Prompt Engineering,,,,,,,2023/8/11,arxiv,,https://arxiv.org/abs/2308.06391
AI Town,,,,,,,,,,,,,2023/8/12,Github,https://github.com/a16z-infra/ai-town,
ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,"Hong Kong University of Science and Technology, Peking University, Tsinghua University",Handcrafting,,,w/o Tools,,,,,Turing Test,Social Evaluation,w/ Benchmark,2023/8/14,arxiv,https://github.com/chanchimin/ChatEval,https://arxiv.org/abs/2308.07201
AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation Framework,"Microsoft, Pennsylvania State University, University of Washington",Handcrafting,Unified,,w/ Tools,Mechanism Engineering,,Science Education,General Autonomous Agents,,,,2023/8/16,arxiv,https://microsoft.github.io/FLAML/docs/Use-Cases/Autogen/,https://arxiv.org/abs/2308.08155
Sherlock,,,,,,,,,,,,,2023/6/27,Github,https://krafton-ai.github.io/sherlock/,
Mm-react: Prompting chatgpt for multimodal reasoning and action,,,,w/o Feedback,w/ Tools,,,,,,Multi-task Evaluation,,2023/3/20,arxiv,MM-ReAct: Prompting ChatGPT for Multimodal Reasoning and Action (multimodal-react.github.io),[2303.11381] MM-REACT: Prompting ChatGPT for Multimodal Reasoning and Action (arxiv.org)
Taskmatrix. ai: Completing tasks by connecting foundation models with millions of apis,Microsoft,,,w/o Feedback,w/ Tools,,,,Industrial Automation,,,,2023/3/29,arxiv,TaskMatrix/TaskMatrix.AI at main · microsoft/TaskMatrix · GitHub,[2303.16434] TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs (arxiv.org)
Tidybot: Personalized robot assistance with large language models,"Columbia University, Google, Princeton University, Stanford University",,,w/o Feedback,w/ Tools,,,,Robotics & Embodied AI,,Multi-task Evaluation,w/ Benchmark,2023/5/9,arxiv,GitHub - jimmyyhwu/tidybot: TidyBot: Personalized Robot Assistance with Large Language Models,[2305.05658] TidyBot: Personalized Robot Assistance with Large Language Models (arxiv.org)
Mindstorms in Natural Language-Based Societies of Mind,"Beihang University, University of Oxford",Handcrafting,,,w/ Tools,,,Science Education,Robotics & Embodied AI,,"Environment Simulation, Multi-task Evaluation",w/ Benchmark,2023/5/26,arxiv,,[2305.17066] Mindstorms in Natural Language-Based Societies of Mind (arxiv.org)
RestGPT: Connecting Large Language Models with Real-World RESTful APIs,Peking University,,Unified,w/ Feedback,w/ Tools,,,,CS&SE,,,w/ Benchmark,2023/6/11,arxiv,https://restgpt.github.io,[2306.06624] RestGPT: Connecting Large Language Models with Real-World RESTful APIs (arxiv.org)
Can Language Models Teach Weaker Agents? Teacher Explanations Improve Students via Theory of Mind,University of North Carolina,,Unified,w/ Feedback,w/o Tools,,,,,,,,2023/6/15,arxiv,https://github.com/swarnaHub/ExplanationIntervention,[2306.09299] Can Language Models Teach Weaker Agents? Teacher Explanations Improve Students via Theory of Mind (arxiv.org)
Personality Traits in Large Language Models,"Berkeley, Google, University of California",Handcrafting,,,w/o Tools,,Psychology,,,Turing Test,Social Evaluation,,2023/7/1,arxiv,,[2307.00184] Personality Traits in Large Language Models (arxiv.org)
RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,Columbia University,,Unified,w/ Feedback,w/ Tools,,,,Robotics & Embodied AI,,"Environment Simulation, Multi-task Evaluation, Social Evaluation",w/ Benchmark,2023/7/10,arxiv,https://project-roco.github.io/,[2307.04738] RoCo: Dialectic Multi-Robot Collaboration with Large Language Models (arxiv.org)
Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,University of Waterloo,,Unified,w/o Feedback,w/o Tools,,,,,,,,2023/7/12,arxiv,,[2307.06187] Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems (arxiv.org)
SayPlan: Grounding Large Language Models using 3D Scene Graphs for Scalable Task Planning,,Handcrafting,Unified,w/ Feedback,w/ Tools,,,,Robotics & Embodied AI,,,,2023/7/12,arxiv,https://sayplan.github.io/,[2307.06135] SayPlan: Grounding Large Language Models using 3D Scene Graphs for Scalable Task Planning (arxiv.org)
A large language model-assisted education tool to provide feedback on open-ended responses,Johns Hopkins University,,,,w/ Tools,,,Science Education,,,,,2023/7/25,arxiv,,[2308.02439] A large language model-assisted education tool to provide feedback on open-ended responses (arxiv.org)
Memory Sandbox: Transparent and Interactive Memory Management for Conversational Agents,University of California San Diego,,"Hybrid, Read/Write/Reflection",,w/o Tools,,,,,,,,2023/8/3,arxiv,,https://arxiv.org/abs/2308.01542
EduChat: A Large-Scale Language Model-based Chatbot System for Intelligent Education,"East China Normal University, Fudan University",Handcrafting,,,w/ Tools,,,Science Education,,,,,2023/8/5,arxiv,"GitHub - icalk-nlp/EduChat: An open-source educational chat model from ICALK, East China Normal University. 开源中英教育对话大模型。(通用基座模型，GPU部署，数据清理) 致敬: LLaMA, MOSS, BELLE, Ziya, vLLM",[2308.02773] EduChat: A Large-Scale Language Model-based Chatbot System for Intelligent Education (arxiv.org)
Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench,The Chinese University of Hong Kong,,,,,,,,,Human Annotation,,w/ Benchmark,2023/8/7,arxiv,GitHub - CUHK-ARISE/EmotionBench,[2308.03656] Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench (arxiv.org)
SimplyRetrieve: A Private and Lightweight Retrieval-Centric Generative AI Tool,,,"Hybrid, Read/Write",,w/ Tools,,,,,,Multi-task Evaluation,,2023/8/8,arxiv,"GitHub - RCGAI/SimplyRetrieve: Lightweight chat AI platform featuring custom knowledge, open-source LLMs, prompt-engineering, retrieval analysis. Highly customizable. For Retrieval-Centric & Retrieval-Augmented Generation.",[2308.03983] SimplyRetrieve: A Private and Lightweight Retrieval-Centric Generative AI Tool (arxiv.org)
Benchmarking LLM powered Chatbots: Methods and Metrics,,,,,,,,,,,,w/ Benchmark,2023/8/8,arxiv,,[2308.03656] Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench (arxiv.org)
LLM As DBA,Tsinghua University,Handcrafting,"Hybrid, Read/Write",w/ Feedback,w/ Tools,,,,CS&SE,,,,2023/8/10,arxiv,GitHub - TsinghuaDatabaseGroup/DB-GPT,[2308.05481] LLM As DBA (arxiv.org)
PentestGPT: An LLM-empowered Automatic Penetration Testing Tool,Nanyang Technological University,,"Hybrid, Read/Write",w/ Feedback,w/o Tools,,,,CS&SE,,Software Testing,w/ Benchmark,2023/8/13,arxiv,,[2308.06782] PentestGPT: An LLM-empowered Automatic Penetration Testing Tool (arxiv.org)
CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes,Carnegie Mellon University,,,w/o Feedback,w/o Tools,Prompt Engineering,,Science Education,CS&SE,,,,2023/8/14,arxiv,,[2308.06921] CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes (arxiv.org)
CALYPSO: LLMs as Dungeon Masters' Assistants,University of Maryland,,Unified,,w/o Tools,,,,,,,,2023/8/15,arxiv,,[2308.07540] CALYPSO: LLMs as Dungeon Masters' Assistants (arxiv.org)
RAH! RecSys-Assistant-Human: A Human-Central Recommendation Frameworkwith Large Language Models,Fudan University,,"Hybrid, Read/Write/Reflection",w/o Feedback,w/o Tools,,,,,,,w/ Benchmark,2023/8/19,arxiv,,[2308.09904] RAH! RecSys-Assistant-Human: A Human-Central Recommendation Framework with Large Language Models (arxiv.org)
ExpeL: LLM Agents Are Experiential Learners,Tsinghua University,,"Hybrid, Read/Write/Reflection",w/ Feedback,w/ Tools,,,,,,Multi-task Evaluation,w/ Benchmark,2023/8/20,arxiv,,[2308.10144] ExpeL: LLM Agents Are Experiential Learners (arxiv.org)
ChatEDA: A Large Language Model Powered Autonomous Agent for EDA,The Chinese University of Hong Kong,,,w/o Feedback,w/ Tools,Mechanism Engineering,,,CS&SE,,,,2023/8/20,arxiv,,[2308.10204] ChatEDA: A Large Language Model Powered Autonomous Agent for EDA (arxiv.org)
Algorithm of Thoughts: Enhancing Exploration of Ideas in Large Language Models ,"Microsoft, Virginia Tech",,,w/o Feedback,,,,,,,,w/ Benchmark,2023/8/20,arxiv,,https://arxiv.org/abs/2308.10379
DiagGPT: An LLM-based Chatbot with Automatic Topic Management for Task-Oriented Dialogue,University of Illinois Urbana-Champaign,GPT-Generated,Unified,,,,,,,,,,2023/8/21,arxiv,,https://arxiv.org/abs/2308.08043
Graph of Thoughts: Solving Elaborate Problems with Large Language Models,ETH Zürich,,,w/o Feedback,,,,,,,,w/ Benchmark,2023/8/21,arxiv,https://github.com/spcl/graph-of-thoughts,https://arxiv.org/abs/2308.09687
ProAgent: Building Proactive Cooperative AI with Large Language Models,The Chinese University of Hong Kong,,"Hybrid, Read/Write",w/ Feedback,w/o Tools,,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/8/22,arxiv,,[2308.11339] ProAgent: Building Proactive Cooperative AI with Large Language Models (arxiv.org)
PREFER: Prompt Ensemble Learning via Feedback-Reflect-Refine,"Beijing University of Posts and Telecommunications, Peking University",,,w/ Feedback,w/o Tools,,,,,,,,2023/8/23,arxiv,,[2308.12033] PREFER: Prompt Ensemble Learning via Feedback-Reflect-Refine (arxiv.org)
RecMind: Large Language Model Powered Agent For Recommendation,Arizona State University,,"Hybrid, Read/Write",w/o Feedback,w/ Tools,,,,,Human Annotation,Multi-task Evaluation,w/ Benchmark,2023/8/28,arxiv,,[2308.14296] RecMind: Large Language Model Powered Agent For Recommendation (arxiv.org)
CGMI: Configurable General Multi-Agent Interaction Framework,East China Normal University,Dataset alignment,"Hybrid, Read/Write/Reflection",w/ Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023/8/28,arxiv,,https://arxiv.org/abs/2308.12503
Recommender AI Agent: Integrating Large Language Models for Interactive Recommendations,Microsoft,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,,,,,,,w/ Benchmark,2023/9/1,arxiv,https://github.com/AngusHuang17/InteRecAgent,https://arxiv.org/abs/2308.16505
LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,The Ohio State University,,,w/ Feedback,,,,,Robotics & Embodied AI,,,w/ Benchmark,2023/3/30,arxiv,https://dki-lab.github.io/LLM-Planner/,https://arxiv.org/abs/2212.04088
GeneGPT: Augmenting Large Language Models with Domain Tools for Improved Access to Biomedical Information,"National Institutes of Health, University of Maryland",,,w/o Feedback,w/ Tools,,,,,,,,2023/4/19,arxiv,https://github.com/ncbi/GeneGPT,https://arxiv.org/abs/2304.09667
Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,"National University of Singapore, Zhejiang University",Handcrafting,,w/ Feedback,w/o Tools,Mechanism Engineering,Social Simulation,,,,Social Evaluation,w/ Benchmark,2023/10/3,arxiv,https://github.com/zjunlp/MachineSoM,https://browse.arxiv.org/pdf/2310.02124.pdf
